"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 14 11:20:14 BRT 2023","Wed Jun 14 11:20:24 BRT 2023","10720","Cadastro Doação de troco","Alterar","","","","Alterar Doação de troco",""
"passed","Wed Jun 14 11:04:26 BRT 2023","Wed Jun 14 11:04:34 BRT 2023","8643","Cadastro CST de entrada","Alterar","","","","Alterar CST de entrada",""
"failed","Wed Jun 14 11:23:05 BRT 2023","Wed Jun 14 11:23:13 BRT 2023","7623","Cadastro Interpretação de TEF","Alterar","","","","Alterar Interpretação de TEF",""
"passed","Wed Jun 14 11:17:24 BRT 2023","Wed Jun 14 11:17:32 BRT 2023","8348","Cadastro Cedulas","Excluir","","","","Excluir Cedulas",""
"passed","Wed Jun 14 11:20:02 BRT 2023","Wed Jun 14 11:20:14 BRT 2023","11893","Cadastro Doação de troco","Cadastro","","","","Cadastrar Doação de troco",""
"passed","Wed Jun 14 10:56:06 BRT 2023","Wed Jun 14 10:56:14 BRT 2023","8385","Cadastro Cadastro de notificação de desconto","Excluir","","","","Excluir Cadastro de notificação de desconto",""
"passed","Wed Jun 14 10:47:46 BRT 2023","Wed Jun 14 10:47:55 BRT 2023","9367","Cadastro Empresa","Alterar","","","","Alterar Empresa",""
"passed","Wed Jun 14 10:49:06 BRT 2023","Wed Jun 14 10:49:14 BRT 2023","8921","Cadastro Função","Excluir","","","","Excluir Função",""
"failed","Wed Jun 14 10:44:36 BRT 2023","Wed Jun 14 10:44:59 BRT 2023","22255","Excluir convenio","Excluir","","","","Excluir convenio",""
"passed","Wed Jun 14 11:24:17 BRT 2023","Wed Jun 14 11:24:28 BRT 2023","11022","Cadastro Motivos","Alterar","","","","ALterar Motivos",""
"passed","Wed Jun 14 10:50:14 BRT 2023","Wed Jun 14 10:50:25 BRT 2023","11425","Cadastro Faixa Mercadoria","Alterar","","","","Alterar Faixa Mercadoria",""
"passed","Wed Jun 14 11:09:59 BRT 2023","Wed Jun 14 11:10:10 BRT 2023","11070","Cadastro Observacao fiscal","Cadastro","","","","Cadastro Observacao fiscal",""
"passed","Wed Jun 14 10:58:52 BRT 2023","Wed Jun 14 10:59:01 BRT 2023","8547","Cadastro Planos de Pagamento","Excluir","","","","Excluir Planos de Pagamento",""
"passed","Wed Jun 14 11:00:44 BRT 2023","Wed Jun 14 11:00:52 BRT 2023","8419","Cadastro Tabela preços","Excluir","","","","Excluir Tabela preços",""
"passed","Wed Jun 14 11:25:46 BRT 2023","Wed Jun 14 11:25:55 BRT 2023","8881","Cadastro Texto","Excluir","","","","Excluir Texto",""
"passed","Wed Jun 14 10:47:09 BRT 2023","Wed Jun 14 10:47:19 BRT 2023","10210","Cadastro Finalizadora","Alterar","","","","Alterar Finalizadora",""
